date,time,loss_factor
2024-01-01,00:15,0.0898551
2024-01-01,00:30,0.0889388
2024-01-01,00:45,0.0877338
2024-01-01,01:00,0.0863506
2024-01-01,01:15,0.0848631
2024-01-01,01:30,0.0833476
2024-01-01,01:45,0.0818326
2024-01-01,02:00,0.0803458
2024-01-01,02:15,0.0789135
2024-01-01,02:30,0.0775613
2024-01-01,02:45,0.0763022
2024-01-01,03:00,0.0751567
2024-01-01,03:15,0.0741116
2024-01-01,03:30,0.0731915
2024-01-01,03:45,0.0723787
2024-01-01,04:00,0.0716729
2024-01-01,04:15,0.0710541
2024-01-01,04:30,0.0705351
2024-01-01,04:45,0.0700986
2024-01-01,05:00,0.0697416
2024-01-01,05:15,0.0694474
2024-01-01,05:30,0.0692102
2024-01-01,05:45,0.0690341
2024-01-01,06:00,0.0689040
2024-01-01,06:15,0.0688353
2024-01-01,06:30,0.0688133
2024-01-01,06:45,0.0688839
2024-01-01,07:00,0.0690823
2024-01-01,07:15,0.0695599
2024-01-01,07:30,0.0706887
2024-01-01,07:45,0.0723577
2024-01-01,08:00,0.0739663
2024-01-01,08:15,0.0754613
2024-01-01,08:30,0.0769785
2024-01-01,08:45,0.0785878
2024-01-01,09:00,0.0803623
2024-01-01,09:15,0.0822646
2024-01-01,09:30,0.0842990
2024-01-01,09:45,0.0863699
2024-01-01,10:00,0.0884517
2024-01-01,10:15,0.0905039
2024-01-01,10:30,0.0924704
2024-01-01,10:45,0.0943473
2024-01-01,11:00,0.0961694
2024-01-01,11:15,0.0979839
2024-01-01,11:30,0.0998315
2024-01-01,11:45,0.1016056
2024-01-01,12:00,0.1032034
2024-01-01,12:15,0.1044392
2024-01-01,12:30,0.1051699
2024-01-01,12:45,0.1053243
2024-01-01,13:00,0.1048715
2024-01-01,13:15,0.1038872
2024-01-01,13:30,0.1025463
2024-01-01,13:45,0.1011160
2024-01-01,14:00,0.0997867
2024-01-01,14:15,0.0986416
2024-01-01,14:30,0.0976505
2024-01-01,14:45,0.0968144
2024-01-01,15:00,0.0961400
2024-01-01,15:15,0.0956509
2024-01-01,15:30,0.0953618
2024-01-01,15:45,0.0952897
2024-01-01,16:00,0.0954974
2024-01-01,16:15,0.0959634
